ObservationDate;Confirmed
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;1.0
02/25/2020;0.0
02/25/2020;0.0
02/25/2020;0.0
02/26/2020;65187.0
02/26/2020;1347.0
02/26/2020;1271.0
02/26/2020;1261.0
02/26/2020;1205.0
02/26/2020;1016.0
02/26/2020;989.0
02/26/2020;934.0
02/26/2020;756.0
02/26/2020;705.0
02/26/2020;631.0
02/26/2020;576.0
02/26/2020;531.0
02/26/2020;480.0
02/26/2020;453.0
02/26/2020;400.0
02/26/2020;337.0
02/26/2020;312.0
02/26/2020;294.0
02/26/2020;252.0
02/26/2020;245.0
02/26/2020;189.0
02/26/2020;174.0
02/26/2020;168.0
02/26/2020;146.0
02/26/2020;139.0
02/26/2020;135.0
02/26/2020;133.0
02/26/2020;121.0
02/26/2020;93.0
02/26/2020;93.0
02/26/2020;91.0
02/26/2020;91.0
02/26/2020;76.0
02/26/2020;75.0
02/26/2020;71.0
02/26/2020;42.0
02/26/2020;40.0
02/26/2020;33.0
02/26/2020;32.0
02/26/2020;27.0
02/26/2020;26.0
02/26/2020;22.0
02/26/2020;18.0
02/26/2020;18.0
02/26/2020;16.0
02/26/2020;13.0
02/26/2020;13.0
02/26/2020;13.0
02/26/2020;10.0
02/26/2020;7.0
02/26/2020;7.0
02/26/2020;5.0
02/26/2020;5.0
02/26/2020;4.0
02/26/2020;4.0
02/26/2020;4.0
02/26/2020;3.0
02/26/2020;3.0
02/26/2020;3.0
02/26/2020;3.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;2.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;1.0
02/26/2020;0.0
02/26/2020;0.0
02/26/2020;0.0
